"filename", "language", "YAML", "Dart", "Markdown", "Swift", "C++", "XML", "JSON", "Properties", "Groovy", "SVG", "comment", "blank", "total"
"c:\Proyectos en flutter\Sw2P1\android\base_project_android.iml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Proyectos en flutter\Sw2P1\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Proyectos en flutter\Sw2P1\android\flutterarch_android.iml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Proyectos en flutter\Sw2P1\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Proyectos en flutter\Sw2P1\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\Proyectos en flutter\Sw2P1\assets\images\img_arrow_left.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Proyectos en flutter\Sw2P1\assets\images\img_cart.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\assets\images\img_ic_bookmark.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Proyectos en flutter\Sw2P1\assets\images\img_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\assets\images\img_icon_gray_500.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\assets\images\img_search.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\assets\images\img_shape.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Proyectos en flutter\Sw2P1\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Proyectos en flutter\Sw2P1\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 99
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Proyectos en flutter\Sw2P1\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Proyectos en flutter\Sw2P1\lib\core\app_export.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Proyectos en flutter\Sw2P1\lib\core\network\network_info.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 83
"c:\Proyectos en flutter\Sw2P1\lib\core\utils\date_time_utils.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Proyectos en flutter\Sw2P1\lib\core\utils\image_constant.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 49
"c:\Proyectos en flutter\Sw2P1\lib\core\utils\size_utils.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 92
"c:\Proyectos en flutter\Sw2P1\lib\localization\en_us\en_us_translations.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Proyectos en flutter\Sw2P1\lib\main.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Proyectos en flutter\Sw2P1\lib\models\cliente_model.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
